,Feature_Names,Importances
0,total_time21,0.16098063162660198
1,paper_time6,0.11846382893468768
2,gmrt_on_paper2,0.09730495274222029
3,mean_gmrt23,0.09326374285598682
4,mean_speed_on_paper23,0.08782109767284152
5,num_of_pendown20,0.08740290103574719
6,total_time6,0.08479702303728887
7,mean_jerk_on_paper21,0.08460985598860582
8,num_of_pendown21,0.0822738839457633
9,disp_index2,0.07644338633720227
10,pressure_mean1,0.07548022994108558
11,gmrt_on_paper7,0.0749186154400926
12,mean_speed_on_paper24,0.06910842981932386
13,mean_acc_on_paper24,0.06711097189563175
14,mean_speed_on_paper17,0.06230812781489031
15,max_x_extension19,0.057871656626444334
16,gmrt_on_paper14,0.05581643777431977
17,mean_jerk_in_air19,0.054109815733692224
18,mean_speed_on_paper6,0.05248180514664452
19,pressure_var20,0.05221854533833775
20,gmrt_in_air22,0.05126427799082045
21,mean_speed_in_air7,0.05106177848935067
22,num_of_pendown19,0.04912033050751341
23,paper_time5,0.048820189547867
24,max_y_extension19,0.04836325886698928
25,gmrt_in_air2,0.0482066377101511
26,pressure_mean4,0.048107157273375806
27,paper_time7,0.04810052933588299
28,mean_acc_in_air1,0.04383894562892826
29,mean_jerk_on_paper7,0.04342171449251753
30,mean_speed_in_air19,0.042309998415983485
31,gmrt_on_paper6,0.041890210342141465
32,mean_gmrt1,0.041142820840994965
33,max_y_extension4,0.04099481282228723
34,pressure_var1,0.039878753246447074
35,gmrt_on_paper24,0.039120315210339485
36,disp_index3,0.03816558643256451
37,air_time9,0.03806648033648152
38,mean_gmrt3,0.03779098599706543
39,disp_index4,0.03622333979865244
40,paper_time4,0.03619946051409556
41,gmrt_on_paper1,0.03540388517596749
42,mean_acc_in_air17,0.03498169021169541
43,pressure_mean21,0.03378075615753212
44,mean_speed_in_air14,0.03256892244238596
45,mean_speed_on_paper7,0.03247596547783277
46,mean_jerk_on_paper24,0.03239947038056096
47,mean_speed_in_air6,0.03217422637098433
48,mean_speed_on_paper4,0.0321533835522507
49,paper_time1,0.0316874259395305
50,mean_jerk_in_air7,0.03155042552390913
51,mean_jerk_on_paper6,0.03154603548677182
52,mean_speed_on_paper22,0.03115335514341544
53,pressure_var22,0.03107122016487024
54,max_x_extension15,0.030776116264471853
55,gmrt_on_paper20,0.030527940530484243
56,gmrt_in_air17,0.03006373593029621
57,disp_index12,0.03003572302886215
58,mean_acc_on_paper8,0.029860878186095396
59,disp_index21,0.029154543197280225
60,gmrt_on_paper23,0.029061464005924742
61,total_time1,0.029060724816641015
62,pressure_var6,0.028502541126685377
63,mean_acc_in_air16,0.028478332544682905
64,mean_jerk_in_air6,0.02843496798269346
65,num_of_pendown3,0.028420799383830575
66,disp_index1,0.028135833544927658
67,gmrt_on_paper11,0.027950654184354995
68,mean_speed_on_paper5,0.02725416229494304
69,mean_speed_in_air15,0.027100867449243116
70,pressure_mean22,0.026872867560841618
71,gmrt_in_air16,0.026761851626461997
72,paper_time19,0.026461515973759342
73,gmrt_in_air14,0.026166907421901753
74,mean_speed_in_air24,0.02572394896432434
75,paper_time23,0.025652144175723424
76,mean_jerk_on_paper23,0.02565027443780954
77,mean_jerk_on_paper11,0.02546934351399488
78,mean_speed_on_paper19,0.025045628047659863
79,air_time21,0.024835918471717955
80,mean_speed_in_air22,0.02478642604043535
81,gmrt_on_paper22,0.02448378739578827
82,gmrt_in_air19,0.02434741184612016
83,gmrt_in_air4,0.024276890389143713
84,mean_speed_on_paper18,0.024258098486311108
85,disp_index24,0.02410151565500024
86,paper_time24,0.02394044976411859
87,max_y_extension18,0.023707255227020108
88,mean_speed_on_paper8,0.023411672489569213
89,disp_index8,0.023099757471803817
90,pressure_mean2,0.02268649736211048
91,mean_jerk_on_paper19,0.022227328549516367
92,max_y_extension10,0.022123516260911413
93,num_of_pendown13,0.022020586677215404
94,mean_gmrt15,0.021919608141376168
95,mean_jerk_in_air25,0.021894491763633173
96,pressure_var3,0.021600527658206636
97,gmrt_on_paper17,0.021531137237335823
98,max_y_extension15,0.02152304481255163
99,mean_speed_in_air23,0.021480123899209946
100,pressure_var24,0.021474084786741954
101,mean_jerk_in_air5,0.021386710181930835
102,mean_jerk_in_air16,0.02098619422640763
103,mean_speed_on_paper20,0.020802495087177575
104,max_x_extension12,0.020556542585824067
105,mean_acc_in_air12,0.020201130972076042
106,mean_acc_on_paper9,0.01996372993093254
107,pressure_var16,0.019854995047719814
108,mean_acc_in_air24,0.019803141412475078
109,pressure_var4,0.01979187434801366
110,mean_acc_in_air10,0.019684773755449192
111,mean_gmrt10,0.019594717827578823
112,pressure_mean18,0.0195935150527414
113,air_time6,0.019331445890181154
114,mean_gmrt21,0.019312133564059808
115,disp_index19,0.019210072784054066
116,num_of_pendown24,0.01873980905456263
117,paper_time3,0.018662924808864778
118,mean_gmrt4,0.018655523827365794
119,air_time8,0.018643664452667852
120,num_of_pendown8,0.018609125320668052
121,paper_time25,0.018606346071172064
122,mean_gmrt13,0.01856529934438711
123,air_time18,0.01850376156526823
124,gmrt_on_paper10,0.018376840870693856
125,pressure_mean14,0.01831227651840861
126,paper_time13,0.017949166462338517
127,gmrt_on_paper13,0.017900050955925062
128,mean_gmrt2,0.017611948149962586
129,gmrt_on_paper4,0.017516189394868098
130,mean_gmrt11,0.017338650716627213
131,gmrt_in_air1,0.017244087099026195
132,max_y_extension8,0.017160833362528716
133,disp_index22,0.017115207655188813
134,mean_jerk_in_air1,0.01709071457639172
135,mean_acc_on_paper17,0.016782427034199354
136,num_of_pendown2,0.016779191909545466
